lemma,pos,semantic_relationship,sense_source,sense_target
calamus,noun,exact,any tropical Asian palm of the genus Calamus; light tough stems are a source of rattan canes,"the indian cane, a plant of the palm family. it furnishes the common rattan. see , and ."
calamus,noun,exact,the aromatic root of the sweet flag used medicinally,"a species of  (), commonly called , or . the root has a pungent, aromatic taste, and is used in medicine as a stomachic; the leaves have an aromatic odor, and were formerly used instead of rushes to strew on floors."
calamus,noun,exact,the hollow spine of a feather,the horny basal portion of a feather; the barrel or quill.
greediness,noun,narrower,an excessive desire for wealth (usually in large amounts),the quality of being greedy; vehement and selfish desire.
greediness,noun,narrower,an excessive desire for food,the quality of being greedy; vehement and selfish desire.
evasive,adjective,narrower,avoiding or escaping from difficulty or danger especially enemy fire,"tending to evade, or marked by evasion; elusive; shuffling; avoiding by artifice."
evasive,adjective,narrower,deliberately vague or ambiguous,"tending to evade, or marked by evasion; elusive; shuffling; avoiding by artifice."
clapper,noun,exact,metal striker that hangs inside a bell and makes a sound by hitting the side,"that which strikes or claps, as the tongue of a bell, or the piece of wood that strikes a mill hopper, etc. see  of ."
clapper,noun,exact,someone who applauds,a person who claps.
vulgar,adjective,exact,of or associated with the great masses of people,"of or pertaining to the mass, or multitude, of people; common; general; ordinary; public; hence, in general use; vernacular."
vulgar,adjective,narrower,being or characteristic of or appropriate to everyday language,"of or pertaining to the mass, or multitude, of people; common; general; ordinary; public; hence, in general use; vernacular."
vulgar,adjective,narrower,lacking refinement or cultivation or taste,"hence, lacking cultivation or refinement; rustic; boorish; also, offensive to good taste or refined feelings; low; coarse; mean; base; ."
vulgar,adjective,narrower,conspicuously and tastelessly indecent,"hence, lacking cultivation or refinement; rustic; boorish; also, offensive to good taste or refined feelings; low; coarse; mean; base; ."
gatherer,noun,exact,a person who gathers,one who gathers or collects.
fungi,noun,exact,"the taxonomic kingdom including yeast, molds, smuts, mushrooms, and toadstools; distinct from the green plants","a group of thallophytic plant-like organisms of low organization, destitute of chlorophyll, in which reproduction is mainly accomplished by means of asexual spores, which are produced in a great variety of ways, though sexual reproduction is known to occur in certain , or so-called algal fungi. they include the molds, mildews, rusts, smuts, mushrooms, toadstools, puff balls, and the allies of each.  in the two-kingdom classification system they were classed with the plants, but in the modern five-kingdom classification, they are not classed as plants, but are classed in their own separate kingdom , which includes the phyla  (including simple fungi such as bread molds),  (including the yeasts),  (including the mushrooms, smuts, and rusts), and  (the ).  some of the forms, such as the yeasts, appear as single-celled microorganisms, but all of the fungi are are eukaryotic, thus distinguishing them from the prokaryotic microorganisms of the kingdon ."
command,noun,exact,the power or authority to command,"power to dominate, command, or overlook by means of position; scope of vision; survey."
command,noun,exact,a military unit or region under the control of a single officer,"a body of troops, or any naval or military force or post, or the whole territory under the authority or control of a particular officer."
command,noun,exact,an authoritative direction or instruction to do something,an authoritative order requiring obedience; a mandate; an injunction.
command,noun,exact,a position of highest authority,authority; power or right of control; leadership; .
trend,noun,narrower,a general direction in which something tends to move,inclination in a particular direction; tendency; general direction; .
trend,noun,narrower,general line of orientation,inclination in a particular direction; tendency; general direction; .
minuscule,noun,exact,a small cursive script developed from uncial between the 7th and 9th centuries and used in medieval manuscripts,a small roman letter which is neither capital nor uncial; a manuscript written in such letters.
twang,verb,narrower,sound with a twang,"to sound with a quick, harsh noise; to make the sound of a tense string pulled and suddenly let go; ."
twang,verb,exact,cause to sound with a twang,"to make to sound, as by pulling a tense string and letting it go suddenly."
twang,verb,narrower,pluck (strings of an instrument),"to sound with a quick, harsh noise; to make the sound of a tense string pulled and suddenly let go; ."
cavity,noun,narrower,space that is surrounded by something,a hollow place; a hollow; .
cavity,noun,narrower,(anatomy) a natural hollow or sinus within the body,a hollow place; a hollow; .
chinese,noun,exact,any of the Sino-Tibetan languages spoken in China; regarded as dialects of a single language (even though they are mutually unintelligible) because they share an ideographic writing system,"the language of china, which is monosyllabic."
